                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8076,                 13.568,                 2.4783,                0.69414,                0.24091,                0.27123,                0.17092,                 1.2507,                 12.657,                 2.1295,              0.0002625,              0.0002625,              0.0002625
                      2,                0.80233,                 3.6496,                 1.4792,                0.33981,                0.49111,                0.27672,                0.18148,                 1.2128,                 28.772,                 2.1582,             0.00051533,             0.00051533,             0.00051533
                      3,                0.93391,                 2.7631,                 1.6566,                 0.3257,                0.64668,                  0.426,                0.23057,                 1.3881,                  3.765,                 2.5553,             0.00074547,             0.00074547,             0.00074547
                      4,                0.92572,                 2.0248,                 1.5983,                0.70503,                0.41563,                0.46481,                 0.2568,                 1.4717,                 3.8441,                  2.961,             0.00095292,             0.00095292,             0.00095292
                      5,                0.90032,                  1.955,                 1.5245,                0.59418,                0.25979,                0.43954,                0.25891,                 1.6276,                 3.9913,                 2.9601,              0.0010438,              0.0010438,              0.0010438
                      6,                 1.0024,                  1.665,                 1.6188,                0.65265,                0.57094,                0.61994,                0.41086,                 1.0464,                  2.574,                 2.0266,             0.00099219,             0.00099219,             0.00099219
                      7,                0.95835,                 1.4705,                 1.5284,                0.58916,                0.68689,                0.71977,                0.50663,                0.94934,                 1.5714,                  1.632,             0.00094062,             0.00094062,             0.00094062
                      8,                0.79212,                 1.4016,                 1.4437,                0.49821,                0.69038,                0.65239,                0.49575,                0.88201,                 1.5784,                 1.6621,             0.00088906,             0.00088906,             0.00088906
                      9,                0.80727,                 1.1925,                 1.3606,                 0.6644,                0.70286,                0.76086,                 0.5639,                0.93927,                 1.4194,                  1.663,              0.0008375,              0.0008375,              0.0008375
                     10,                0.76526,                  1.129,                 1.3867,                0.76123,                0.60048,                0.70684,                0.53147,                0.85896,                 1.6364,                 1.5911,             0.00078594,             0.00078594,             0.00078594
                     11,                0.73417,                 1.0901,                 1.3551,                0.67884,                0.81182,                0.82143,                0.66949,                0.79225,                  1.424,                 1.4801,             0.00073437,             0.00073437,             0.00073437
                     12,                0.77106,                 1.0068,                 1.3777,                 0.7487,                0.68043,                0.69812,                0.56301,                0.71538,                 1.6116,                 1.3653,             0.00068281,             0.00068281,             0.00068281
                     13,                0.74697,                0.95169,                 1.3405,                0.82597,                0.84748,                0.92709,                0.76975,                0.74865,                0.88109,                 1.4734,             0.00063125,             0.00063125,             0.00063125
                     14,                0.71038,                0.95813,                 1.3285,                0.77082,                0.91354,                0.93257,                 0.8036,                 0.6211,                0.87702,                 1.2855,             0.00057969,             0.00057969,             0.00057969
                     15,                0.77315,                 1.0993,                 1.3477,                0.79305,                0.84505,                0.88557,                0.74668,                0.64525,                0.91346,                 1.4265,             0.00052812,             0.00052812,             0.00052812
                     16,                0.71745,                 1.0218,                 1.2664,                0.86342,                0.79552,                0.87259,                0.73615,                0.66857,                0.85344,                 1.3472,             0.00047656,             0.00047656,             0.00047656
                     17,                0.76334,                0.93631,                 1.3145,                0.90759,                0.78547,                0.89963,                0.76183,                0.59815,                0.76371,                 1.3591,               0.000425,               0.000425,               0.000425
                     18,                0.66345,                0.94102,                 1.2496,                0.86279,                0.83947,                0.89217,                0.77133,                0.63093,                 0.7668,                  1.365,             0.00037344,             0.00037344,             0.00037344
                     19,                0.70251,                0.85207,                  1.203,                 0.8877,                0.84957,                0.89683,                0.76056,                0.62156,                0.77934,                 1.3446,             0.00032188,             0.00032188,             0.00032188
                     20,                0.66958,                0.80701,                 1.2498,                0.82978,                0.95789,                0.90438,                0.77057,                0.62492,                0.61413,                 1.3939,             0.00027031,             0.00027031,             0.00027031
                     21,                0.62079,                 0.7933,                 1.1961,                 0.8919,                0.91945,                0.91183,                 0.7835,                0.61852,                0.68202,                 1.2955,             0.00021875,             0.00021875,             0.00021875
                     22,                0.60599,                0.86061,                 1.2022,                0.87328,                0.87281,                0.91685,                0.78794,                0.62016,                0.68096,                  1.292,             0.00016719,             0.00016719,             0.00016719
                     23,                 0.6428,                0.72998,                 1.1641,                0.95193,                0.86444,                0.94439,                0.80917,                0.59567,                0.59472,                  1.297,             0.00011563,             0.00011563,             0.00011563
                     24,                0.56066,                0.65819,                 1.1686,                0.93539,                0.88845,                 0.9502,                0.83995,                0.54285,                0.57153,                 1.2595,             6.4062e-05,             6.4062e-05,             6.4062e-05
